               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.025401,            0.014105,          0.00072888,             0.86827,             0.80652,             0.87505,             0.53986,            0.025859,           0.0081299,           0.0014522,           0.0091981,           0.0091981,           0.0091981
                  83,            0.026098,             0.01458,          0.00053147,             0.82587,             0.84526,             0.87936,             0.53051,            0.025354,           0.0082924,            0.001316,           0.0091882,           0.0091882,           0.0091882
                  84,            0.026065,            0.014724,           0.0005724,             0.83643,             0.88349,             0.88642,             0.53383,            0.024957,           0.0084896,          0.00065492,           0.0091783,           0.0091783,           0.0091783
                  85,            0.026609,             0.01539,           0.0006263,             0.83211,             0.81428,             0.86889,             0.52512,            0.026453,           0.0083676,           0.0017234,           0.0091684,           0.0091684,           0.0091684
                  86,            0.026133,            0.014659,          0.00070456,             0.86895,             0.82317,             0.88999,             0.54446,             0.02571,            0.008255,           0.0011367,           0.0091585,           0.0091585,           0.0091585
                  87,            0.025109,            0.014468,          0.00053352,             0.82191,              0.9045,             0.89981,             0.54098,            0.025164,           0.0082834,           0.0013852,           0.0091486,           0.0091486,           0.0091486
                  88,            0.024813,            0.014219,          0.00069008,             0.89858,             0.79217,             0.88605,             0.53675,            0.025605,           0.0086732,           0.0012147,           0.0091387,           0.0091387,           0.0091387
                  89,            0.025168,            0.014254,          0.00077472,             0.82163,             0.87429,             0.88218,             0.54804,            0.024613,           0.0082277,           0.0011493,           0.0091288,           0.0091288,           0.0091288
                  90,            0.025204,            0.014149,          0.00060758,             0.82368,             0.86356,              0.8736,              0.5196,            0.025202,           0.0082489,           0.0014255,           0.0091189,           0.0091189,           0.0091189
                  91,             0.02577,            0.014255,          0.00045022,             0.83243,             0.87191,             0.89442,             0.54455,             0.02435,           0.0082602,           0.0010941,            0.009109,            0.009109,            0.009109
                  92,            0.025765,            0.014782,          0.00065817,             0.85674,              0.8688,             0.89893,             0.53996,            0.024304,           0.0081936,          0.00084831,           0.0090991,           0.0090991,           0.0090991
                  93,            0.025079,            0.014239,          0.00056281,             0.88803,             0.85113,             0.87967,             0.53723,            0.024203,           0.0081439,            0.001539,           0.0090892,           0.0090892,           0.0090892
                  94,            0.025345,            0.014451,          0.00041469,             0.86189,              0.8215,             0.88499,             0.54696,            0.024706,           0.0082339,           0.0008956,           0.0090793,           0.0090793,           0.0090793
                  95,            0.025095,            0.014424,          0.00033953,             0.85693,             0.81706,             0.89339,             0.54242,             0.02486,           0.0083069,           0.0013538,           0.0090694,           0.0090694,           0.0090694
                  96,            0.024408,            0.013563,          0.00048942,             0.83417,             0.84826,             0.87665,             0.52051,            0.026092,           0.0083695,           0.0008916,           0.0090595,           0.0090595,           0.0090595
                  97,            0.024598,            0.014607,          0.00046793,             0.86875,             0.78136,             0.87207,             0.53492,            0.026037,           0.0083322,           0.0016212,           0.0090496,           0.0090496,           0.0090496
                  98,             0.02521,            0.014227,          0.00042752,             0.86034,             0.83661,             0.87513,             0.53089,            0.025741,            0.008174,           0.0013551,           0.0090397,           0.0090397,           0.0090397
                  99,            0.023801,            0.013845,          0.00046725,             0.85485,             0.83537,             0.86259,             0.51225,            0.025873,           0.0085664,            0.001703,           0.0090298,           0.0090298,           0.0090298
                 100,            0.024095,             0.01352,           0.0005205,             0.87033,             0.85285,             0.90647,             0.53682,            0.026013,           0.0084972,           0.0014222,           0.0090199,           0.0090199,           0.0090199
                 101,            0.024896,            0.014346,           0.0004314,             0.83305,             0.84796,             0.88897,             0.53522,            0.026083,           0.0082071,           0.0012174,             0.00901,             0.00901,             0.00901
                 102,            0.024368,            0.013711,          0.00045923,             0.84049,             0.85727,             0.88089,             0.53579,            0.025624,           0.0082432,            0.001221,           0.0090001,           0.0090001,           0.0090001
                 103,            0.024828,             0.01403,          0.00050243,             0.86307,             0.81453,             0.88353,             0.54081,            0.025989,           0.0081511,           0.0012187,           0.0089902,           0.0089902,           0.0089902
                 104,            0.024434,            0.013738,          0.00046797,             0.88552,             0.82411,             0.88859,             0.53606,            0.026254,           0.0081716,           0.0013621,           0.0089803,           0.0089803,           0.0089803
                 105,            0.024775,            0.014159,           0.0006012,             0.88899,             0.80344,              0.8798,              0.5312,            0.026462,           0.0085118,           0.0016778,           0.0089704,           0.0089704,           0.0089704
                 106,            0.025091,            0.014121,          0.00051914,             0.85187,             0.83564,             0.87307,             0.51579,            0.025868,             0.00841,           0.0021727,           0.0089605,           0.0089605,           0.0089605
                 107,            0.024787,             0.01393,          0.00069739,             0.88095,             0.82553,             0.88548,             0.53193,            0.026101,           0.0084617,           0.0017976,           0.0089506,           0.0089506,           0.0089506
                 108,            0.024187,            0.013675,           0.0006108,             0.89214,             0.85135,             0.90109,             0.53632,            0.025262,           0.0082526,           0.0011464,           0.0089407,           0.0089407,           0.0089407
                 109,            0.023862,            0.013983,          0.00056477,             0.87338,              0.8465,             0.90766,             0.54196,            0.025018,           0.0081985,           0.0012689,           0.0089308,           0.0089308,           0.0089308
                 110,            0.024475,            0.013677,          0.00063529,              0.8697,             0.84963,             0.90318,             0.52705,            0.024927,           0.0083149,           0.0015059,           0.0089209,           0.0089209,           0.0089209
